Row,Anon Student Id,Problem Name,Correct First Attempt,KC(Default)
10642,3cjD21W,M4X-2Y=8&Y=-2X+5,0,"Finding the intersection, Mixed"
10670,3cjD21W,M4X+5Y=48&Y=3X+2,1,"Finding the intersection, Mixed"
10707,3cjD21W,G5X+3Y=4.7&2X+6Y=6.2,0,"Finding the intersection, GLF"
10750,3cjD21W,G8X-7Y=51&10X+Y=-15,0,"Finding the intersection, GLF"
10753,3cjD21W,G8X-7Y=51&10X+Y=-15,0,"Finding the intersection, GLF"
10772,3cjD21W,G-4X+5Y=-19&-3X-7Y=18,1,"Finding the intersection, GLF"
10796,3cjD21W,SY=-X&Y=7,1,"Finding the intersection, Mixed"
10816,3cjD21W,G3X-5Y=27&4X+3Y=7,1,"Finding the intersection, GLF"
10832,3cjD21W,SY=2X&Y=-3X+5,1,"Finding the intersection, SIF"
12464,4gJnw14,RATIO2-001,1,Calculate unit rate
12471,4gJnw14,RATIO2-001,0,Calculate unit rate
12482,4gJnw14,RATIO2-127,0,Calculate unit rate
12488,4gJnw14,RATIO2-127,0,Calculate unit rate
12500,4gJnw14,RATIO2-140,1,Calculate unit rate
12503,4gJnw14,RATIO2-140,1,Calculate unit rate
12522,4gJnw14,RATIO2-061,0,Calculate unit rate
12523,4gJnw14,RATIO2-061,0,Calculate unit rate
12539,4gJnw14,RATIO2-106,0,Calculate unit rate
12541,4gJnw14,RATIO2-106,0,Calculate unit rate
12557,4gJnw14,RATIO2-022,0,Calculate unit rate
12559,4gJnw14,RATIO2-022,0,Calculate unit rate
12575,4gJnw14,RATIO2-180,0,Calculate unit rate
12577,4gJnw14,RATIO2-180,0,Calculate unit rate
12593,4gJnw14,RATIO2-149,1,Calculate unit rate
12594,4gJnw14,RATIO2-149,1,Calculate unit rate
12610,4gJnw14,RATIO2-003,1,Calculate unit rate
12611,4gJnw14,RATIO2-003,0,Calculate unit rate
12623,4gJnw14,RATIO2-156,0,Calculate unit rate
12629,4gJnw14,RATIO2-156,0,Calculate unit rate
12645,4gJnw14,RATIO2-071,0,Calculate unit rate
12647,4gJnw14,RATIO2-071,0,Calculate unit rate
12663,4gJnw14,RATIO2-062,1,Calculate unit rate
12665,4gJnw14,RATIO2-062,0,Calculate unit rate
12681,4gJnw14,RATIO2-131,0,Calculate unit rate
12683,4gJnw14,RATIO2-131,0,Calculate unit rate
12699,4gJnw14,RATIO2-144,1,Calculate unit rate
12700,4gJnw14,RATIO2-144,1,Calculate unit rate
12716,4gJnw14,RATIO2-130,1,Calculate unit rate
12718,4gJnw14,RATIO2-130,0,Calculate unit rate
12733,4gJnw14,RATIO3-001,0,Calculate part in proportion with fractions
12746,4gJnw14,RATIO3-151,1,Calculate part in proportion with fractions
12759,4gJnw14,RATIO3-068,0,Calculate total in proportion with fractions
12767,4gJnw14,RATIO3-154,1,Calculate total in proportion with fractions
12785,4gJnw14,RATIO3-163,0,Calculate part in proportion with fractions
12798,4gJnw14,RATIO3-153,1,Calculate part in proportion with fractions
15947,6zkEsmR,RATIO2-001,1,Calculate unit rate
15957,6zkEsmR,RATIO2-001,0,Calculate unit rate
15965,6zkEsmR,RATIO2-143,1,Calculate unit rate
15976,6zkEsmR,RATIO2-143,0,Calculate unit rate
15985,6zkEsmR,RATIO2-166,0,Calculate unit rate
15994,6zkEsmR,RATIO2-166,0,Calculate unit rate
16003,6zkEsmR,RATIO2-022,0,Calculate unit rate
16012,6zkEsmR,RATIO2-022,0,Calculate unit rate
16028,6zkEsmR,RATIO2-160,0,Calculate unit rate
16030,6zkEsmR,RATIO2-160,0,Calculate unit rate
16037,6zkEsmR,RATIO2-128,1,Calculate unit rate
16047,6zkEsmR,RATIO2-128,1,Calculate unit rate
16056,6zkEsmR,RATIO2-134,0,Calculate unit rate
16064,6zkEsmR,RATIO2-134,1,Calculate unit rate
16073,6zkEsmR,RATIO2-125,1,Calculate unit rate
16081,6zkEsmR,RATIO2-125,1,Calculate unit rate
16090,6zkEsmR,RATIO3-001,0,Calculate part in proportion with fractions
16093,6zkEsmR,RATIO3-001,1,Calculate part in proportion with fractions
16108,6zkEsmR,RATIO3-179,1,Calculate part in proportion with fractions
16120,6zkEsmR,RATIO3-043,1,Calculate total in proportion with fractions
16133,6zkEsmR,RATIO3-036,1,Calculate part in proportion with fractions
16145,6zkEsmR,RATIO3-026,0,Calculate total in proportion with fractions
16157,6zkEsmR,RATIO3-152,0,Calculate part in proportion with fractions
16169,6zkEsmR,RATIO3-187,1,Calculate total in proportion with fractions
16181,6zkEsmR,RATIO3-055,1,Calculate part in proportion with fractions
16193,6zkEsmR,RATIO3-065,1,Calculate total in proportion with fractions
16205,6zkEsmR,RATIO3-134,1,Calculate part in proportion with fractions
16217,6zkEsmR,RATIO3-050,1,Calculate total in proportion with fractions
16230,6zkEsmR,RATIO3-181,0,Calculate part in proportion with fractions
16242,6zkEsmR,RATIO3-200,1,Calculate part in proportion with fractions
16254,6zkEsmR,RATIO3-117,1,Calculate total in proportion with fractions
16267,6zkEsmR,RATIO3-075,0,Calculate total in proportion with fractions
16279,6zkEsmR,RATIO3-042,1,Calculate part in proportion with fractions
19162,8EWewH7,RATIO2-001,1,Calculate unit rate
19173,8EWewH7,RATIO2-001,0,Calculate unit rate
19189,8EWewH7,RATIO2-046,0,Calculate unit rate
19190,8EWewH7,RATIO2-046,0,Calculate unit rate
19199,8EWewH7,RATIO2-128,1,Calculate unit rate
19205,8EWewH7,RATIO2-128,1,Calculate unit rate
19216,8EWewH7,RATIO2-089,1,Calculate unit rate
19222,8EWewH7,RATIO2-089,1,Calculate unit rate
19233,8EWewH7,RATIO2-119,1,Calculate unit rate
19239,8EWewH7,RATIO2-119,1,Calculate unit rate
19248,8EWewH7,RATIO2-007,1,Calculate unit rate
19256,8EWewH7,RATIO2-007,0,Calculate unit rate
19270,8EWewH7,RATIO2-184,1,Calculate unit rate
19275,8EWewH7,RATIO2-184,0,Calculate unit rate
19288,8EWewH7,RATIO3-001,0,Calculate part in proportion with fractions
19301,8EWewH7,RATIO3-162,1,Calculate part in proportion with fractions
19314,8EWewH7,RATIO3-090,1,Calculate total in proportion with fractions
19326,8EWewH7,RATIO3-099,0,Calculate part in proportion with fractions
19338,8EWewH7,RATIO3-024,1,Calculate total in proportion with fractions
19350,8EWewH7,RATIO3-012,1,Calculate part in proportion with fractions
19361,8EWewH7,RATIO3-032,1,Calculate part in proportion with fractions
19374,8EWewH7,RATIO3-119,0,Calculate total in proportion with fractions
19386,8EWewH7,RATIO3-147,0,Calculate total in proportion with fractions
19399,8EWewH7,RATIO3-191,1,Calculate total in proportion with fractions
19411,8EWewH7,RATIO3-014,1,Calculate part in proportion with fractions
19423,8EWewH7,RATIO3-096,0,Calculate total in proportion with fractions
19436,8EWewH7,RATIO3-166,1,Calculate total in proportion with fractions
19448,8EWewH7,RATIO3-151,1,Calculate part in proportion with fractions
24040,BU25p0d,RATIO2-001,0,Calculate unit rate
24047,BU25p0d,RATIO2-001,1,Calculate unit rate
25466,JJGL4Ig,RATIO2-001,1,Calculate unit rate
25477,JJGL4Ig,RATIO2-001,0,Calculate unit rate
25488,JJGL4Ig,RATIO2-144,1,Calculate unit rate
25492,JJGL4Ig,RATIO2-144,1,Calculate unit rate
25502,JJGL4Ig,RATIO2-197,0,Calculate unit rate
25510,JJGL4Ig,RATIO2-197,0,Calculate unit rate
25521,JJGL4Ig,RATIO2-034,0,Calculate unit rate
25527,JJGL4Ig,RATIO2-034,1,Calculate unit rate
25536,JJGL4Ig,RATIO2-044,1,Calculate unit rate
25545,JJGL4Ig,RATIO2-044,0,Calculate unit rate
25553,JJGL4Ig,RATIO2-178,0,Calculate unit rate
25561,JJGL4Ig,RATIO2-178,1,Calculate unit rate
25575,JJGL4Ig,RATIO3-001,1,Calculate part in proportion with fractions
25589,JJGL4Ig,RATIO3-076,0,Calculate total in proportion with fractions
25603,JJGL4Ig,RATIO3-050,0,Calculate total in proportion with fractions
25616,JJGL4Ig,RATIO3-195,0,Calculate total in proportion with fractions
25629,JJGL4Ig,RATIO3-047,1,Calculate part in proportion with fractions
25642,JJGL4Ig,RATIO3-029,0,Calculate part in proportion with fractions
28463,JJGL4Ig,RATIONAL1-100,0,Plot non-terminating improper fraction
28464,JJGL4Ig,RATIONAL1-059,1,Plot imperfect radical
28466,JJGL4Ig,RATIONAL1-299,1,Plot whole number
28468,JJGL4Ig,RATIONAL1-043,0,Plot terminating proper fraction
28472,JJGL4Ig,RATIONAL1-244,1,Plot terminating proper fraction
28481,JJGL4Ig,RATIONAL1-123,1,Plot non-terminating improper fraction
28483,JJGL4Ig,RATIONAL1-029,0,Plot decimal - thousandths
28484,JJGL4Ig,RATIONAL1-284,0,Plot pi
28485,JJGL4Ig,RATIONAL1-213,1,Plot terminating proper fraction
28491,JJGL4Ig,RATIONAL1-229,1,Plot imperfect radical
28494,JJGL4Ig,RATIONAL1-002,1,Plot whole number
28501,JJGL4Ig,RATIONAL1-290,1,Plot decimal - thousandths
28502,JJGL4Ig,RATIONAL1-156,1,Plot pi
28506,JJGL4Ig,RATIONAL1-101,1,Plot non-terminating improper fraction
30364,S2M2j2W,RATIO2-001,1,Calculate unit rate
30374,S2M2j2W,RATIO2-001,0,Calculate unit rate
30386,S2M2j2W,RATIO2-060,1,Calculate unit rate
30391,S2M2j2W,RATIO2-060,1,Calculate unit rate
30403,S2M2j2W,RATIO2-063,0,Calculate unit rate
30408,S2M2j2W,RATIO2-063,1,Calculate unit rate
30420,S2M2j2W,RATIO2-159,0,Calculate unit rate
30425,S2M2j2W,RATIO2-159,1,Calculate unit rate
30432,S2M2j2W,RATIO2-168,0,Calculate unit rate
30442,S2M2j2W,RATIO2-168,1,Calculate unit rate
30454,S2M2j2W,RATIO2-017,0,Calculate unit rate
30457,S2M2j2W,RATIO2-017,1,Calculate unit rate
30472,S2M2j2W,RATIO3-001,0,Calculate part in proportion with fractions
30485,S2M2j2W,RATIO3-168,0,Calculate part in proportion with fractions
30488,S2M2j2W,RATIO3-168,0,Calculate part in proportion with fractions
30501,S2M2j2W,RATIO3-140,0,Calculate total in proportion with fractions
30514,S2M2j2W,RATIO3-003,0,Calculate total in proportion with fractions
30528,S2M2j2W,RATIO3-058,0,Calculate total in proportion with fractions
30541,S2M2j2W,RATIO3-101,0,Calculate part in proportion with fractions
30554,S2M2j2W,RATIO3-135,0,Calculate part in proportion with fractions
30567,S2M2j2W,RATIO3-042,1,Calculate part in proportion with fractions
30579,S2M2j2W,RATIO3-037,1,Calculate total in proportion with fractions
30592,S2M2j2W,RATIO3-034,0,Calculate part in proportion with fractions
30605,S2M2j2W,RATIO3-090,0,Calculate total in proportion with fractions
30618,S2M2j2W,RATIO3-041,0,Calculate total in proportion with fractions
30631,S2M2j2W,RATIO3-022,0,Calculate total in proportion with fractions
30644,S2M2j2W,RATIO3-165,0,Calculate part in proportion with fractions
30657,S2M2j2W,RATIO3-053,0,Calculate total in proportion with fractions
30670,S2M2j2W,RATIO3-110,0,Calculate part in proportion with fractions
33212,vL4lMaM,RATIO2-001,1,Calculate unit rate
33218,vL4lMaM,RATIO2-001,0,Calculate unit rate
33229,vL4lMaM,RATIO2-023,1,Calculate unit rate
33233,vL4lMaM,RATIO2-023,1,Calculate unit rate
33248,vL4lMaM,RATIO2-110,0,Calculate unit rate
33252,vL4lMaM,RATIO2-110,1,Calculate unit rate
33264,vL4lMaM,RATIO3-001,1,Calculate part in proportion with fractions
33276,vL4lMaM,RATIO3-024,0,Calculate total in proportion with fractions
33290,vL4lMaM,RATIO3-026,0,Calculate total in proportion with fractions
33303,vL4lMaM,RATIO3-150,0,Calculate part in proportion with fractions
33318,vL4lMaM,RATIO3-132,0,Calculate total in proportion with fractions
33331,vL4lMaM,RATIO3-088,1,Calculate part in proportion with fractions
33344,vL4lMaM,RATIO3-064,1,Calculate part in proportion with fractions
33357,vL4lMaM,RATIO3-043,0,Calculate total in proportion with fractions
33370,vL4lMaM,RATIO3-106,0,Calculate total in proportion with fractions
33383,vL4lMaM,RATIO3-198,0,Calculate total in proportion with fractions
33394,vL4lMaM,RATIO3-168,0,Calculate part in proportion with fractions
33409,vL4lMaM,RATIO3-086,1,Calculate total in proportion with fractions
33423,vL4lMaM,RATIO3-044,1,Calculate part in proportion with fractions
33434,vL4lMaM,RATIO3-164,1,Calculate total in proportion with fractions
33448,vL4lMaM,RATIO3-065,0,Calculate total in proportion with fractions
33462,vL4lMaM,RATIO3-123,0,Calculate part in proportion with fractions
36626,Y6120Vs,RATIO2-001,1,Calculate unit rate
36630,Y6120Vs,RATIO2-001,0,Calculate unit rate
36646,Y6120Vs,RATIO2-178,0,Calculate unit rate
36649,Y6120Vs,RATIO2-178,0,Calculate unit rate
36665,Y6120Vs,RATIO2-184,0,Calculate unit rate
36666,Y6120Vs,RATIO2-184,1,Calculate unit rate
36678,Y6120Vs,RATIO2-171,1,Calculate unit rate
36682,Y6120Vs,RATIO2-171,1,Calculate unit rate
36695,Y6120Vs,RATIO2-177,1,Calculate unit rate
36699,Y6120Vs,RATIO2-177,1,Calculate unit rate
36712,Y6120Vs,RATIO3-001,1,Calculate part in proportion with fractions
36725,Y6120Vs,RATIO3-068,1,Calculate total in proportion with fractions
36737,Y6120Vs,RATIO3-011,1,Calculate part in proportion with fractions
36750,Y6120Vs,RATIO3-123,1,Calculate part in proportion with fractions
36759,Y6120Vs,RATIO3-053,0,Calculate total in proportion with fractions
36775,Y6120Vs,RATIO3-007,1,Calculate part in proportion with fractions
36785,Y6120Vs,RATIO3-086,0,Calculate total in proportion with fractions
36799,Y6120Vs,RATIO3-013,0,Calculate total in proportion with fractions
36811,Y6120Vs,RATIO3-191,1,Calculate total in proportion with fractions
36821,Y6120Vs,RATIO3-035,1,Calculate part in proportion with fractions
36833,Y6120Vs,RATIO3-140,1,Calculate total in proportion with fractions
36849,Y6120Vs,RATIO3-092,1,Calculate part in proportion with fractions
36857,Y6120Vs,RATIO3-134,1,Calculate part in proportion with fractions
36869,Y6120Vs,RATIO3-074,1,Calculate total in proportion with fractions
36885,Y6120Vs,RATIO3-034,1,Calculate part in proportion with fractions
36897,Y6120Vs,RATIO3-052,1,Calculate total in proportion with fractions
38899,Y6120Vs,RATIONAL1-248,0,Plot terminating proper fraction
38908,Y6120Vs,RATIONAL1-247,1,Plot whole number
38913,Y6120Vs,RATIONAL1-213,1,Plot terminating proper fraction
38915,Y6120Vs,RATIONAL1-101,1,Plot non-terminating improper fraction
38918,Y6120Vs,RATIONAL1-085,1,Plot imperfect radical
38922,Y6120Vs,RATIONAL1-154,0,Plot decimal - thousandths
38923,Y6120Vs,RATIONAL1-063,1,Plot pi
38926,Y6120Vs,RATIONAL1-299,1,Plot whole number
38930,Y6120Vs,RATIONAL1-186,1,Plot terminating proper fraction
38933,Y6120Vs,RATIONAL1-280,1,Plot decimal - thousandths
38943,Y6120Vs,RATIONAL1-046,0,Plot terminating proper fraction
38948,Y6120Vs,RATIONAL1-143,1,Plot terminating proper fraction
38949,Y6120Vs,RATIONAL1-287,1,Plot non-terminating improper fraction
38951,Y6120Vs,RATIONAL1-255,1,Plot imperfect radical
41206,ZBj33oo,RATIO2-001,1,Calculate unit rate
41210,ZBj33oo,RATIO2-001,0,Calculate unit rate
41223,ZBj33oo,RATIO2-139,1,Calculate unit rate
41227,ZBj33oo,RATIO2-139,1,Calculate unit rate
41236,ZBj33oo,RATIO2-154,1,Calculate unit rate
41244,ZBj33oo,RATIO2-154,1,Calculate unit rate
41253,ZBj33oo,RATIO2-089,1,Calculate unit rate
41264,ZBj33oo,RATIO2-089,0,Calculate unit rate
41271,ZBj33oo,RATIO2-155,1,Calculate unit rate
41279,ZBj33oo,RATIO2-155,1,Calculate unit rate
41294,ZBj33oo,RATIO2-021,0,Calculate unit rate
41295,ZBj33oo,RATIO2-021,0,Calculate unit rate
41310,ZBj33oo,RATIO2-163,1,Calculate unit rate
41313,ZBj33oo,RATIO2-163,0,Calculate unit rate
41328,ZBj33oo,RATIO3-001,0,Calculate part in proportion with fractions
41341,ZBj33oo,RATIO3-048,1,Calculate part in proportion with fractions
41354,ZBj33oo,RATIO3-024,1,Calculate total in proportion with fractions
41367,ZBj33oo,RATIO3-082,1,Calculate part in proportion with fractions
41380,ZBj33oo,RATIO3-164,1,Calculate total in proportion with fractions
41392,ZBj33oo,RATIO3-078,1,Calculate total in proportion with fractions
41404,ZBj33oo,RATIO3-174,1,Calculate part in proportion with fractions
41416,ZBj33oo,RATIO3-179,1,Calculate part in proportion with fractions
41428,ZBj33oo,RATIO3-194,1,Calculate total in proportion with fractions
41440,ZBj33oo,RATIO3-040,1,Calculate part in proportion with fractions
41452,ZBj33oo,RATIO3-175,1,Calculate total in proportion with fractions
41464,ZBj33oo,RATIO3-008,1,Calculate total in proportion with fractions
41476,ZBj33oo,RATIO3-193,1,Calculate part in proportion with fractions
41488,ZBj33oo,RATIO3-135,1,Calculate part in proportion with fractions
41500,ZBj33oo,RATIO3-115,1,Calculate part in proportion with fractions
41511,ZBj33oo,RATIO3-138,1,Calculate total in proportion with fractions
44401,ZBj33oo,RATIONAL1-256,0,Plot imperfect radical
44404,ZBj33oo,RATIONAL1-241,1,Plot decimal - thousandths
44412,ZBj33oo,RATIONAL1-054,0,Plot imperfect radical
44414,ZBj33oo,RATIONAL1-299,1,Plot whole number
44426,ZBj33oo,RATIONAL1-287,1,Plot non-terminating improper fraction
44429,ZBj33oo,RATIONAL1-003,1,Plot terminating proper fraction
44432,ZBj33oo,RATIONAL1-002,1,Plot whole number
44434,ZBj33oo,RATIONAL1-254,0,Plot pi
44438,ZBj33oo,RATIONAL1-245,0,Plot terminating proper fraction
44440,ZBj33oo,RATIONAL1-134,0,Plot terminating proper fraction
44447,ZBj33oo,RATIONAL1-100,0,Plot non-terminating improper fraction
44448,ZBj33oo,RATIONAL1-166,1,Plot terminating proper fraction
44450,ZBj33oo,RATIONAL1-090,1,Plot imperfect radical
44456,ZBj33oo,RATIONAL1-117,1,Plot non-terminating improper fraction
44463,ZBj33oo,RATIONAL1-148,1,Plot terminating proper fraction
44467,ZBj33oo,RATIONAL1-137,1,Plot imperfect radical
46555,1T4w47X,RATIO2-001,1,Calculate unit rate
46561,1T4w47X,RATIO2-001,0,Calculate unit rate
46574,1T4w47X,RATIO2-101,0,Calculate unit rate
46578,1T4w47X,RATIO2-101,0,Calculate unit rate
46594,1T4w47X,RATIO2-179,0,Calculate unit rate
46596,1T4w47X,RATIO2-179,0,Calculate unit rate
46604,1T4w47X,RATIO2-108,1,Calculate unit rate
46611,1T4w47X,RATIO2-108,1,Calculate unit rate
46620,1T4w47X,RATIO2-016,1,Calculate unit rate
46628,1T4w47X,RATIO2-016,1,Calculate unit rate
46643,1T4w47X,RATIO3-001,1,Calculate part in proportion with fractions
46656,1T4w47X,RATIO3-086,0,Calculate total in proportion with fractions
46668,1T4w47X,RATIO3-058,0,Calculate total in proportion with fractions
46680,1T4w47X,RATIO3-188,1,Calculate part in proportion with fractions
46692,1T4w47X,RATIO3-085,1,Calculate total in proportion with fractions
46704,1T4w47X,RATIO3-004,1,Calculate part in proportion with fractions
46716,1T4w47X,RATIO3-037,1,Calculate total in proportion with fractions
46728,1T4w47X,RATIO3-083,1,Calculate part in proportion with fractions
46740,1T4w47X,RATIO3-146,1,Calculate total in proportion with fractions
46752,1T4w47X,RATIO3-179,1,Calculate part in proportion with fractions
46762,1T4w47X,RATIO3-082,1,Calculate part in proportion with fractions
46776,1T4w47X,RATIO3-126,1,Calculate part in proportion with fractions
46788,1T4w47X,RATIO3-027,1,Calculate part in proportion with fractions
46800,1T4w47X,RATIO3-088,1,Calculate part in proportion with fractions
46812,1T4w47X,RATIO3-038,1,Calculate total in proportion with fractions
46824,1T4w47X,RATIO3-020,1,Calculate total in proportion with fractions
49033,1T4w47X,RATIONAL1-200,0,Plot imperfect radical
49036,1T4w47X,RATIONAL1-157,1,Plot terminating proper fraction
49037,1T4w47X,RATIONAL1-271,1,Plot whole number
49043,1T4w47X,RATIONAL1-090,0,Plot imperfect radical
49044,1T4w47X,RATIONAL1-190,1,Plot pi
49048,1T4w47X,RATIONAL1-293,1,Plot non-terminating improper fraction
49049,1T4w47X,RATIONAL1-196,0,Plot decimal - thousandths
49054,1T4w47X,RATIONAL1-180,0,Plot terminating proper fraction
49055,1T4w47X,RATIONAL1-114,0,Plot terminating proper fraction
49063,1T4w47X,RATIONAL1-155,1,Plot terminating proper fraction
49069,1T4w47X,RATIONAL1-256,1,Plot imperfect radical
49072,1T4w47X,RATIONAL1-300,1,Plot whole number
49073,1T4w47X,RATIONAL1-113,0,Plot decimal - thousandths
49080,1T4w47X,RATIONAL1-280,0,Plot decimal - thousandths
49084,1T4w47X,RATIONAL1-284,1,Plot pi
49088,1T4w47X,RATIONAL1-118,1,Plot non-terminating improper fraction
49089,1T4w47X,RATIONAL1-253,1,Plot terminating proper fraction
52278,1T4w47X,M3X+Y=16&Y=X+4,0,"Finding the intersection, Mixed"
52310,1T4w47X,GX+4Y=42&-5X+6Y=50,0,"Finding the intersection, GLF"
52341,1T4w47X,SY=2X+5&Y=-2X+5,1,"Finding the intersection, SIF"
52389,1T4w47X,SY=-100X-500&Y=50X+150,0,"Finding the intersection, SIF"
52422,1T4w47X,M4X-2Y=8&Y=-2X+5,0,"Finding the intersection, Mixed"
52462,1T4w47X,M4X+5Y=48&Y=3X+2,0,"Finding the intersection, Mixed"
52507,1T4w47X,G8X-7Y=51&10X+Y=-15,0,"Finding the intersection, GLF"
52555,1T4w47X,G5X+3Y=4.7&2X+6Y=6.2,0,"Finding the intersection, GLF"
52575,1T4w47X,SY=-X&Y=7,0,"Finding the intersection, Mixed"
52647,1T4w47X,G-4X-5Y=18&-5X-7Y=27,0,"Finding the intersection, GLF"
52725,1T4w47X,G-X+6Y=-13&-X-2Y=-5,0,"Finding the intersection, GLF"
52766,1T4w47X,G-2.3X+1.7Y=3.5&-4.7X+1.7Y,0,"Finding the intersection, GLF"
52834,1T4w47X,G2X+3Y=12&2X-Y=4,0,"Finding the intersection, GLF"
52879,1T4w47X,M8X-5Y=-40&Y=-2X-6,0,"Finding the intersection, Mixed"
52942,1T4w47X,GX+4Y=17&-X+7Y=38,0,"Finding the intersection, GLF"
52976,1T4w47X,M2X-Y=-3&Y=-X+9,0,"Finding the intersection, Mixed"
53009,1T4w47X,G3X-Y=5&2X+Y=15,1,"Finding the intersection, GLF"
53050,1T4w47X,M2X+3Y=6&Y=-X+2,0,"Finding the intersection, Mixed"
53087,1T4w47X,M4X+3Y=31&Y=2X+7,0,"Finding the intersection, Mixed"
53130,1T4w47X,M9X-8Y=27&Y=-X+23,0,"Finding the intersection, Mixed"
53157,1T4w47X,M2X-9Y=14&Y=6X-42,0,"Finding the intersection, Mixed"
53191,1T4w47X,M2X-4Y=18&Y=-3X+13,0,"Finding the intersection, Mixed"
54120,1T4w47X,SYLT-3X-2&YGT-5X+12,0,"Finding the intersection, SIF"
54164,1T4w47X,SYGE-100X-500&YLE50X+150,1,"Finding the intersection, SIF"
54231,1T4w47X,M4X-2YLT8&YLE-2X+5,0,"Finding the intersection, Mixed"
54262,1T4w47X,M2X-YLE-3&YGT-X+9,1,"Finding the intersection, Mixed"
54294,1T4w47X,G2X+3YLE12&2X-YGT4,1,"Finding the intersection, GLF"
54339,1T4w47X,G3X-5YGT-29&2X-10YLE-42,1,"Finding the intersection, GLF"
54405,1T4w47X,SYLT-0.75X-2&YGT0.25X+7,1,"Finding the intersection, SIF"
54463,1T4w47X,M8X-5YGE-40&YLE-2X-6,0,"Finding the intersection, Mixed"
54523,1T4w47X,G2X+5YGE19&-3X+2YLT0,0,"Finding the intersection, GLF"
54594,1T4w47X,GXGE0&YGE0,1,"Finding the intersection, GLF"
54642,1T4w47X,GXGT100&YGT50,0,"Finding the intersection, GLF"
54670,1T4w47X,GXGE100&YLE375,0,"Finding the intersection, GLF"
54699,1T4w47X,M4X+3YLT31&YLT2X+7,1,"Finding the intersection, Mixed"
54721,1T4w47X,SYGE2X&YLE-3X+5,1,"Finding the intersection, SIF"
54762,1T4w47X,GX+4YLT42&-5X+6YGE50,1,"Finding the intersection, GLF"
54781,1T4w47X,SYLE-3X+2&YGE2X-8,1,"Finding the intersection, SIF"
54801,1T4w47X,G3X-YLT5&2X+YLT15,1,"Finding the intersection, GLF"
